able	能;有能力的	⠁⠃⠇⠑
above	上文的；前述的	⠁⠃⠧
adult	成年的;成熟的;色情的	⠁⠙⠥⠇⠞
afraid	害怕	⠁⠋⠗⠁⠊⠙
all	所有的;全部	⠁⠇⠇
alone	單獨的;孤單的	⠁⠇⠐⠕
angry	生氣的	⠁⠝⠛⠗⠽
another	另一個	⠁⠝⠕⠮⠗
any	任何的	⠁⠝⠽
back	後面的;拖欠的;過去的	⠃⠁⠉⠅
bad	壞的	⠃⠁⠙
basic	基本的	⠃⠁⠎⠊⠉
beautiful	漂亮的	⠃⠂⠥⠞⠊⠰⠇
best	最好的;最熟練的;最適當的	⠃⠑⠌
better	較佳的;更好的;更適當的	⠃⠑⠞⠞⠻
big	大的	⠃⠊⠛
black	黑色的	⠃⠇⠁⠉⠅
blue	藍色的	⠃⠇⠥⠑
born	出生的;誕生的	⠃⠕⠗⠝
both	兩者	⠃⠕⠹
bottom	最低的;最後的；最下的	⠃⠕⠞⠞⠕⠍
brave	勇敢的	⠃⠗⠁⠧⠑
bright	光亮的	⠃⠐⠗
brown	褐色的;棕色的	⠃⠗⠪⠝
busy	忙碌的	⠃⠥⠎⠽
careful	小心的	⠉⠜⠑⠰⠇
certain	肯定的	⠉⠻⠞⠁⠔
chief	為首的;主要的	⠡⠊⠑⠋
clean	乾淨的	⠉⠇⠂⠝
clear	清楚的;晴朗的	⠉⠇⠑⠜
close	近的;密切的	⠉⠇⠕⠎⠑
cold	寒冷的	⠉⠕⠇⠙
common	常見的	⠉⠕⠍⠍⠕⠝
cool	涼快的;很棒的;酷	⠉⠕⠕⠇
correct	正確的	⠉⠕⠗⠗⠑⠉⠞
cute	可愛的	⠉⠥⠞⠑
dark	黑暗的	⠙⠜⠅
dead	死的	⠙⠂⠙
dear	親愛的	⠙⠑⠜
deep	深的	⠙⠑⠑⠏
different	不同的	⠙⠊⠖⠻⠢⠞
difficult	困難的	⠙⠊⠖⠊⠉⠥⠇⠞
direct	直接的	⠙⠊⠗⠑⠉⠞
dirty	骯髒的	⠙⠊⠗⠞⠽
down	情緒低落；消沈;(分期付款的)第一期的	⠙⠪⠝
downstairs	樓下的	⠙⠪⠝⠌⠁⠊⠗⠎
dry	乾的	⠙⠗⠽
each	每個	⠑⠁⠡
early	早的;提早的	⠑⠜⠇⠽
east	東方的	⠑⠁⠌
easy	容易的	⠑⠁⠎⠽
eight	八的	⠑⠊⠣⠞
eighteen	十八的	⠑⠊⠣⠞⠑⠢
eighty	八十的	⠑⠊⠣⠞⠽
either	兩者之一	⠑⠊
eleven	十一的	⠑⠇⠑⠧⠢
English	英格蘭的;英國的;英國人的;英語的	⠠⠢⠛⠇⠊⠩
enough	足夠的	⠢
equal	相等的;	⠑⠟⠥⠁⠇
even	均勻的;偶數的;平手的	⠑⠧⠢
every	每一個的	⠑
FALSE	假的	⠠⠠⠋⠁⠇⠎⠑
far	遠的	⠋⠜
fast	快的	⠋⠁⠌
fat	胖的	⠋⠁⠞
few	少數的;一些	⠋⠑⠺
fifteen	十五的	⠋⠊⠋⠞⠑⠢
