abrupt	突然的;意外的	⠁⠃⠗⠥⠏⠞
absurd	荒謬的;愚蠢的	⠁⠃⠎⠥⠗⠙
abundant	大量的;充足的;	⠁⠃⠥⠝⠙⠁⠝⠞
ace	第一流的;突出的	⠁⠉⠑
adolescent	青少年的;未成熟的	⠁⠙⠕⠇⠑⠎⠉⠢⠞
agricultural	農業的	⠁⠛⠗⠊⠉⠥⠇⠞⠥⠗⠁⠇
airtight	密閉的;無懈可擊的	⠁⠊⠗⠞⠊⠣⠞
alien	外國的;外國人的	⠁⠇⠊⠢
allergic	過敏的	⠁⠇⠇⠻⠛⠊⠉
alternate	輪流的	⠁⠇⠞⠻⠝⠁⠞⠑
ample	大量的;充裕的	⠁⠍⠏⠇⠑
antique	年代久遠的;古董的	⠁⠝⠞⠊⠟⠥⠑
apt	易於...的;恰當的;聰明的	⠁⠏⠞
astray	迷路的;離開正道的	⠁⠌⠗⠁⠽
barbarian	野蠻(人)的	⠃⠜⠃⠜⠊⠁⠝
barefoot	赤腳的	⠃⠜⠑⠋⠕⠕⠞
barren	貧瘠的;荒蕪的;不妊的	⠃⠜⠗⠢
bass	低沈的;男低音的	⠃⠁⠎⠎
beloved	心愛的	⠆⠇⠕⠧⠫
beneficial	有益的;有利的	⠃⠢⠑⠋⠊⠉⠊⠁⠇
blond	白膚金髮碧眼的	⠃⠇⠕⠝⠙
blonde	白膚金髮碧眼的	⠃⠇⠕⠝⠙⠑
bodily	肉體的;身體的;有形的	⠃⠕⠙⠊⠇⠽
bronze	青銅製的;青銅色的	⠃⠗⠕⠝⠵⠑
carefree	無憂無慮的;輕鬆愉快的	⠉⠜⠑⠋⠗⠑⠑
cautious	十分小心的;謹慎的	⠉⠁⠥⠞⠊⠳⠎
centigrade	攝氏的	⠉⠢⠞⠊⠛⠗⠁⠙⠑
chestnut	栗色的	⠡⠑⠌⠝⠥⠞
chubby	圓胖的	⠡⠥⠆⠽
civic	城市的;市民的	⠉⠊⠧⠊⠉
clockwise	順時針方向的;右旋的	⠉⠇⠕⠉⠅⠺⠊⠎⠑
colonial	殖民地的;殖民的	⠉⠕⠇⠕⠝⠊⠁⠇
commonplace	平凡的;普通的	⠉⠕⠍⠍⠕⠝⠏⠇⠁⠉⠑
communist	共產主義的	⠉⠕⠍⠍⠥⠝⠊⠌
compact	緊密的;結實的;小型的	⠉⠕⠍⠏⠁⠉⠞
compassionate	有同情心的;慈悲的	⠉⠕⠍⠏⠁⠎⠨⠝⠁⠞⠑
compound	合成的；複合的	⠉⠕⠍⠏⠨⠙
considerate	體諒的	⠒⠎⠊⠙⠻⠁⠞⠑
constitutional	憲法的;生來的	⠒⠌⠊⠞⠥⠰⠝⠁⠇
contagious	接觸傳染的;(感情等)感染性的	⠒⠞⠁⠛⠊⠳⠎
contemporary	當代的	⠒⠞⠑⠍⠏⠕⠗⠜⠽
continental	洲的;大陸的	⠒⠞⠔⠢⠞⠁⠇
coral	珊瑚的;珊瑚色的	⠉⠕⠗⠁⠇
corrupt	腐敗的;貪污的	⠉⠕⠗⠗⠥⠏⠞
counterclockwise	逆時針方向的	⠉⠨⠞⠻⠉⠇⠕⠉⠅⠺⠊⠎⠑
cowardly	膽小的;懦怯的	⠉⠪⠜⠙⠇⠽
cozy	舒適的;愜意的	⠉⠕⠵⠽
crystal	水晶的	⠉⠗⠽⠌⠁⠇
descriptive	描寫的;描述性的	⠙⠑⠎⠉⠗⠊⠏⠞⠊⠧⠑
destructive	破壞的;毀滅性的	⠙⠑⠌⠗⠥⠉⠞⠊⠧⠑
distinctive	有特色的;特殊的	⠲⠞⠔⠉⠞⠊⠧⠑
downward	向下的；下降的;日趨沒落的	⠙⠪⠝⠺⠜⠙
dreadful	可怕的	⠙⠗⠂⠙⠰⠇
elaborate	精心製作的;煞費苦心的；辛勤的	⠑⠇⠁⠃⠕⠗⠁⠞⠑
enthusiastic	熱情的;熱烈的	⠢⠹⠥⠎⠊⠁⠌⠊⠉
erect	豎起的	⠻⠑⠉⠞
eternal	永久的;永恆的	⠑⠞⠻⠝⠁⠇
evergreen	常綠的;常青的	⠐⠑⠛⠗⠑⠢
exceptional	例外的;異常的;特殊的	⠑⠭⠉⠑⠏⠰⠝⠁⠇
excess	過量的;額外的	⠑⠭⠉⠑⠎⠎
executive	執行的;行政部門的	⠑⠭⠑⠉⠥⠞⠊⠧⠑
extensive	廣大的;廣闊的	⠑⠭⠞⠢⠎⠊⠧⠑
exterior	外部的;外面的	⠑⠭⠞⠻⠊⠕⠗
external	外面的;外來的	⠑⠭⠞⠻⠝⠁⠇
extinct	(火等)熄滅了的;絕種的	⠑⠭⠞⠔⠉⠞
extraordinary	異常的;特別的	⠑⠭⠞⠗⠁⠕⠗⠙⠔⠜⠽
federal	聯邦(制)的	⠋⠫⠻⠁⠇
feeble	虛弱的;軟弱的	⠋⠑⠑⠃⠇⠑
feminine	女性的;女孩氣的;陰性的	⠋⠑⠍⠔⠔⠑
forgetful	健忘的	⠿⠛⠑⠞⠰⠇
foul	惡臭的;污濁的;惡劣的;犯規的	⠋⠳⠇
frantic	(因喜悅或憤怒等)發狂似的	⠋⠗⠁⠝⠞⠊⠉
gay	同性戀的	⠛⠁⠽
geographical	地理學的;地理的	⠛⠑⠕⠛⠗⠁⠏⠓⠊⠉⠁⠇
gorgeous	燦爛的;華麗的;極好的	⠛⠕⠗⠛⠑⠳⠎
grim	無情的;嚴厲的;恐怖的	⠛⠗⠊⠍
gross	總的;粗略的;令人噁心的	⠛⠗⠕⠎⠎
hardy	能吃苦耐勞的;(植物等)耐寒的	⠓⠜⠙⠽
hearty	衷心的;健壯的;豐盛的	⠓⠑⠜⠞⠽
heavenly	天堂般的	⠓⠂⠧⠢⠇⠽
heroic	英雄的;英勇的	⠓⠻⠕⠊⠉
heterosexual	異性戀的	⠓⠑⠞⠻⠕⠎⠑⠭⠥⠁⠇
hoarse	(嗓音)嘶啞的	⠓⠕⠜⠎⠑
homosexual	同性戀的	⠓⠕⠍⠕⠎⠑⠭⠥⠁⠇
horizontal	水平的;橫的	⠓⠕⠗⠊⠵⠕⠝⠞⠁⠇
hostile	敵方的;懷敵意的	⠓⠕⠌⠊⠇⠑
