accurate	準確的	⠁⠒⠥⠗⠁⠞⠑
additional	附加的;額外的	⠁⠙⠙⠊⠰⠝⠁⠇
advanced	先進的;高等的	⠁⠙⠧⠨⠑⠙
apparent	明顯的；顯而易見的	⠁⠏⠏⠜⠢⠞
arithmetic	算術的	⠜⠊⠹⠍⠑⠞⠊⠉
average	平均的	⠁⠧⠻⠁⠛⠑
aware	知道的；察覺的	⠁⠺⠜⠑
awful	可怕的	⠁⠺⠰⠇
bare	裸的;僅僅的	⠃⠜⠑
ceramic	陶器的;製陶藝術的	⠉⠻⠁⠍⠊⠉
changeable	易變的;不定的	⠡⠁⠝⠛⠂⠃⠇⠑
cheerful	使人感到愉快的	⠡⠑⠻⠰⠇
cherry	櫻桃口味的;;鮮紅色的	⠡⠻⠗⠽
chill	涼颼颼的	⠡⠊⠇⠇
chilly	冷颼颼的	⠡⠊⠇⠇⠽
commercial	商業的;商務的	⠉⠕⠍⠍⠻⠉⠊⠁⠇
confident	有信心的	⠒⠋⠊⠙⠢⠞
conscious	神志清醒的；有知覺的	⠒⠎⠉⠊⠳⠎
considerable	相當大的;相當多的	⠒⠎⠊⠙⠻⠁⠃⠇⠑
constant	固定的；不變的	⠒⠌⠁⠝⠞
countable	可計算的;可數的	⠉⠨⠞⠁⠃⠇⠑
creative	有創造力(或想像力)的	⠉⠗⠂⠞⠊⠧⠑
criminal	犯罪的；犯法的	⠉⠗⠊⠍⠔⠁⠇
crunchy	發嘎吱嘎吱聲的;易碎的	⠉⠗⠥⠝⠡⠽
current	現行的	⠉⠥⠗⠗⠢⠞
darling	親愛的；心愛的;寵愛的	⠙⠜⠇⠬
diligent	勤勉的	⠙⠊⠇⠊⠛⠢⠞
domestic	國內的	⠙⠕⠍⠑⠌⠊⠉
doubtful	懷疑的	⠙⠳⠃⠞⠰⠇
drowsy	昏昏欲睡的	⠙⠗⠪⠎⠽
eager	渴望的；急切的	⠑⠁⠛⠻
educational	教育的	⠫⠥⠉⠁⠰⠝⠁⠇
efficient	效率高的;有能力的	⠑⠖⠊⠉⠊⠢⠞
elderly	年長的;上了年紀的	⠑⠇⠙⠻⠇⠽
energetic	精力充沛的	⠢⠻⠛⠑⠞⠊⠉
enjoyable	快樂的;有樂趣的	⠢⠚⠕⠽⠁⠃⠇⠑
environmental	環境的;有關環境(保護)的	⠢⠧⠊⠗⠕⠝⠰⠞⠁⠇
faint	頭暈的;暗淡的	⠋⠁⠔⠞
familiar	熟悉的;常見的	⠋⠁⠍⠊⠇⠊⠜
farther	far的比較級	⠋⠜⠮⠗
fashionable	時尚的	⠋⠁⠩⠊⠕⠝⠁⠃⠇⠑
frequent	頻繁的;屢次的	⠋⠗⠑⠟⠥⠢⠞
handy	便利的;靈活的;易於操作的	⠓⠯⠽
harmful	有害的	⠓⠜⠍⠰⠇
hasty	倉促的；輕率的	⠓⠁⠌⠽
historic	歷史上著名的	⠓⠊⠌⠕⠗⠊⠉
historical	歷史的；史學的	⠓⠊⠌⠕⠗⠊⠉⠁⠇
hollow	空的;凹陷的	⠓⠕⠇⠇⠪
hourly	以鐘點計算的	⠓⠳⠗⠇⠽
humorous	幽默的	⠓⠥⠍⠕⠗⠳⠎
ideal	理想的；完美的	⠊⠙⠂⠇
immediate	即刻的	⠊⠍⠍
individual	個別的	⠔⠙⠊⠧⠊⠙⠥⠁⠇
indoor	室內的	⠔⠙⠕⠕⠗
industrial	工業的；產業的	⠔⠙⠥⠌⠗⠊⠁⠇
inferior	次級的	⠔⠋⠻⠊⠕⠗
inner	內部的	⠔⠝⠻
innocent	無罪的；清白的	⠔⠝⠕⠉⠢⠞
internal	內部的	⠔⠞⠻⠝⠁⠇
jealous	嫉妒的	⠚⠂⠇⠳⠎
joyful	高興的；充滿喜悅的	⠚⠕⠽⠰⠇
latter	後者	⠇⠁⠞⠞⠻
liberal	自由主義的	⠇⠊⠃⠻⠁⠇
manageable	可控制的	⠍⠁⠝⠁⠛⠂⠃⠇⠑
marvelous	了不起的	⠍⠜⠧⠑⠇⠳⠎
mathematical	數學的	⠍⠁⠮⠍⠁⠞⠊⠉⠁⠇
meaningful	意味深長的;有意義的	⠍⠂⠝⠬⠰⠇
