aboriginal	原住民的	⠁⠃⠕⠗⠊⠛⠔⠁⠇
absentminded	心不在焉的;健忘的	⠁⠃⠎⠢⠞⠍⠔⠙⠫
accessible	可(或易)接近的;可(或易)得到的	⠁⠒⠑⠎⠎⠊⠃⠇⠑
accessory	附加的;附屬的	⠁⠒⠑⠎⠎⠕⠗⠽
accountable	應負責任的;可說明的	⠁⠒⠨⠞⠁⠃⠇⠑
administrative	管理的;行政的	⠁⠙⠍⠔⠊⠌⠗⠁⠞⠊⠧⠑
affectionate	充滿深情的;溫柔親切的	⠁⠖⠑⠉⠰⠝⠁⠞⠑
alcoholic	含酒精的;酗酒的	⠁⠇⠉⠕⠓⠕⠇⠊⠉
alternative	兩者(或若干)中擇一的	⠁⠇⠞⠻⠝⠁⠞⠊⠧⠑
ambiguous	含糊不清的	⠁⠍⠃⠊⠛⠥⠳⠎
anonymous	匿名的	⠁⠝⠕⠝⠽⠍⠳⠎
antarctic	南極的;南極區的	⠁⠝⠞⠜⠉⠞⠊⠉
arctic	北極的;北極區的	⠜⠉⠞⠊⠉
arrogant	傲慢的;自大的	⠜⠗⠕⠛⠁⠝⠞
articulate	發音清晰的;口才好的	⠜⠞⠊⠉⠥⠇⠁⠞⠑
attendant	出席的;伴隨的;侍候的	⠁⠞⠞⠢⠙⠁⠝⠞
authentic	可信的;真實的	⠁⠥⠮⠝⠞⠊⠉
awesome	令人敬畏的;非凡的	⠁⠺⠑⠐⠎
bizarre	奇異的;異乎尋常的	⠃⠊⠵⠜⠗⠑
bleak	荒涼的;陰冷的;無希望的	⠃⠇⠂⠅
charitable	慈善的;寬容的	⠡⠜⠊⠞⠁⠃⠇⠑
chronic	(病)慢性的;(人)久病的;長期的	⠡⠗⠕⠝⠊⠉
clinical	臨床的;診所的	⠉⠇⠔⠊⠉⠁⠇
coherent	一致的;條理清楚的;連貫的	⠉⠕⠓⠻⠢⠞
colloquial	口語的;會話的	⠉⠕⠇⠇⠕⠟⠥⠊⠁⠇
comparable	可比較的;比得上的	⠉⠕⠍⠏⠜⠁⠃⠇⠑
comparative	比較的;相對的	⠉⠕⠍⠏⠜⠁⠞⠊⠧⠑
competent	有能力的;能幹的;能勝任的	⠉⠕⠍⠏⠑⠞⠢⠞
component	組成的;構成的	⠉⠕⠍⠏⠕⠝⠢⠞
comprehensive	廣泛的;綜合的	⠉⠕⠍⠏⠗⠑⠓⠢⠎⠊⠧⠑
concise	簡明的	⠒⠉⠊⠎⠑
confidential	祕密的;機密的	⠒⠋⠊⠙⠢⠞⠊⠁⠇
conscientious	憑良心的;誠實的;認真的	⠒⠎⠉⠊⠢⠞⠊⠳⠎
constituent	構成(全體)的;組成的;選舉的	⠒⠌⠊⠞⠥⠢⠞
controversial	有爭議的;好議論的	⠒⠞⠗⠕⠧⠻⠎⠊⠁⠇
coordinate	同等重要的;座標的;對等的	⠉⠕⠕⠗⠙⠔⠁⠞⠑
credible	可信的;可靠的	⠉⠗⠫⠊⠃⠇⠑
crooked	彎曲的;欺詐的;不正派的	⠉⠗⠕⠕⠅⠫
customary	習慣上的;按慣例的	⠉⠥⠌⠕⠍⠜⠽
deadly	致命的；致死的;非常的；極度的	⠙⠂⠙⠇⠽
decent	正派的;體面的	⠙⠑⠉⠢⠞
deliberate	深思熟慮的;蓄意的	⠙⠑⠇⠊⠃⠻⠁⠞⠑
delinquent	怠忽職守的;拖欠的;犯法的	⠙⠑⠇⠔⠟⠥⠢⠞
dental	牙齒的;牙科的	⠙⠢⠞⠁⠇
destined	命中注定的;(場所)預定的	⠙⠑⠌⠔⠫
disastrous	災害的;悲慘的	⠲⠁⠌⠗⠳⠎
disciplinary	訓練的;紀律的;懲戒的	⠲⠉⠊⠏⠇⠔⠜⠽
discreet	謹慎的;謙虛的;不引人注意的	⠲⠉⠗⠑⠑⠞
disgraceful	不名譽的;可恥的	⠲⠛⠗⠁⠉⠑⠰⠇
dispensable	非必要的;可分配的	⠲⠏⠢⠎⠁⠃⠇⠑
disposable	可任意處理的;用完即丟棄的	⠲⠏⠕⠎⠁⠃⠇⠑
dissident	意見不同的	⠲⠎⠊⠙⠢⠞
diverse	互異的;多變化的	⠙⠊⠧⠻⠎⠑
documentary	文件的;(電影、電視等)記錄的	⠙⠕⠉⠥⠰⠞⠜⠽
drastic	激烈的;極端的	⠙⠗⠁⠌⠊⠉
dreary	慘淡的;沈悶的	⠙⠗⠑⠜⠽
dubious	半信半疑的;含糊的	⠙⠥⠃⠊⠳⠎
eccentric	(人、行為等)古怪的	⠑⠒⠢⠞⠗⠊⠉
edible	可食的；食用的	⠫⠊⠃⠇⠑
editorial	社論的	⠫⠊⠞⠕⠗⠊⠁⠇
eloquent	雄辯的;口才流利的	⠑⠇⠕⠟⠥⠢⠞
equivalent	相等的；相同的	⠑⠟⠥⠊⠧⠁⠇⠢⠞
ethical	倫理的;道德的	⠑⠹⠊⠉⠁⠇
ethnic	種族的;人種學的	⠑⠹⠝⠊⠉
extracurricular	課外的	⠑⠭⠞⠗⠁⠉⠥⠗⠗⠊⠉⠥⠇⠜
fabulous	極好的;驚人的	⠋⠁⠃⠥⠇⠳⠎
feasible	可行的;可能的	⠋⠂⠎⠊⠃⠇⠑
finite	有限的	⠋⠔⠊⠞⠑
fireproof	防火的;耐火的	⠋⠊⠗⠑⠏⠗⠕⠷
formidable	令人畏懼的;難對付的	⠿⠍⠊⠙⠁⠃⠇⠑
forthcoming	即將到來的	⠿⠹⠉⠕⠍⠬
foster	收養的	⠋⠕⠌⠻
frail	身體虛弱的;易損壞的	⠋⠗⠁⠊⠇
genetic	基因的;遺傳(學)的	⠛⠢⠑⠞⠊⠉
honorary	(學位等)名譽上的;名譽職位的	⠓⠕⠝⠕⠗⠜⠽
humanitarian	人道主義的;博愛的	⠓⠥⠍⠁⠝⠊⠞⠜⠊⠁⠝
hysterical	歇斯底里的;極可笑的	⠓⠽⠌⠻⠊⠉⠁⠇
imperative	必要的;命令式的;祈使法的	⠊⠍⠏⠻⠁⠞⠊⠧⠑
imposing	壯觀的;氣勢宏偉的;莊嚴的	⠊⠍⠏⠕⠎⠬
incentive	刺激的;鼓勵的；獎勵的	⠔⠉⠢⠞⠊⠧⠑
incidental	易發生的;附帶的	⠔⠉⠊⠙⠢⠞⠁⠇
inclusive	包含的;包括在內的	⠔⠉⠇⠥⠎⠊⠧⠑
inevitable	不可避免的	⠔⠑⠧⠊⠞⠁⠃⠇⠑
infectious	傳染的;有感染力的	⠔⠋⠑⠉⠞⠊⠳⠎
ingenious	心靈手巧的;足智多謀的	⠔⠛⠢⠊⠳⠎
inherent	固有的;與生俱來的	⠔⠓⠻⠢⠞
initiative	開始的;初步的;創始的	⠔⠊⠞⠊⠁⠞⠊⠧⠑
innovative	創新的	⠔⠝⠕⠧⠁⠞⠊⠧⠑
intact	完整無缺的;原封不動的	⠔⠞⠁⠉⠞
invaluable	非常貴重的;無價的	⠔⠧⠁⠇⠥⠁⠃⠇⠑
legendary	傳說的;傳奇的	⠇⠑⠛⠢⠙⠜⠽
legitimate	合法的;合法婚姻所生的;合理的	⠇⠑⠛⠊⠞⠊⠍⠁⠞⠑
lengthy	長的;冗長的;囉唆的	⠇⠢⠛⠹⠽
liable	易...的;可能的;負有法律責任的	⠇⠊⠁⠃⠇⠑
literal	照字面的;原義的;如實的	⠇⠊⠞⠻⠁⠇
literate	能讀寫的;有文化修養的	⠇⠊⠞⠻⠁⠞⠑
lush	蒼翠繁茂的;豐富的	⠇⠥⠩
medieval	中世紀的;中古風的;守舊的	⠍⠫⠊⠑⠧⠁⠇
melancholy	憂鬱的;令人沮喪的	⠍⠑⠇⠁⠝⠡⠕⠇⠽
mellow	(水果)成熟的;(人)圓熟的	⠍⠑⠇⠇⠪
miniature	小型的;小規模的	⠍⠔⠊⠁⠞⠥⠗⠑
