above	上文的；前述的	⠁⠃⠧
alone	單獨的;孤單的	⠁⠇⠐⠕
another	另一個	⠁⠝⠕⠮⠗
beautiful	漂亮的	⠃⠂⠥⠞⠊⠰⠇
best	最好的;最熟練的;最適當的	⠃⠑⠌
better	較佳的;更好的;更適當的	⠃⠑⠞⠞⠻
both	兩者	⠃⠕⠹
bright	光亮的	⠃⠐⠗
brown	褐色的;棕色的	⠃⠗⠪⠝
careful	小心的	⠉⠜⠑⠰⠇
certain	肯定的	⠉⠻⠞⠁⠔
chief	為首的;主要的	⠡⠊⠑⠋
clean	乾淨的	⠉⠇⠂⠝
clear	清楚的;晴朗的	⠉⠇⠑⠜
dark	黑暗的	⠙⠜⠅
dead	死的	⠙⠂⠙
dear	親愛的	⠙⠑⠜
different	不同的	⠙⠊⠖⠻⠢⠞
difficult	困難的	⠙⠊⠖⠊⠉⠥⠇⠞
down	情緒低落；消沈;(分期付款的)第一期的	⠙⠪⠝
downstairs	樓下的	⠙⠪⠝⠌⠁⠊⠗⠎
each	每個	⠑⠁⠡
early	早的;提早的	⠑⠜⠇⠽
east	東方的	⠑⠁⠌
eight	八的	⠑⠊⠣⠞
eighteen	十八的	⠑⠊⠣⠞⠑⠢
eighty	八十的	⠑⠊⠣⠞⠽
either	兩者之一	⠑⠊
eleven	十一的	⠑⠇⠑⠧⠢
English	英格蘭的;英國的;英國人的;英語的	⠠⠢⠛⠇⠊⠩
enough	足夠的	⠢
even	均勻的;偶數的;平手的	⠑⠧⠢
every	每一個的	⠑
far	遠的	⠋⠜
fast	快的	⠋⠁⠌
fifteen	十五的	⠋⠊⠋⠞⠑⠢
final	最終的	⠋⠔⠁⠇
fine	好的	⠋⠔⠑
first	第一的	⠋⠌
foreign	外國的；陌生的；外來的	⠿⠑⠊⠛⠝
forty	四十的	⠿⠞⠽
four	四的	⠋⠳⠗
fourteen	十四的	⠋⠳⠗⠞⠑⠢
fresh	新鮮的	⠋⠗⠑⠩
general	普遍的	⠛⠢⠻⠁⠇
good	好的	⠛⠙
grand	雄偉的;總的	⠛⠗⠯
great	很棒;大的	⠛⠗⠞
green	綠色的	⠛⠗⠑⠢
hard	硬的;難的	⠓⠜⠙
heavy	重的	⠓⠂⠧⠽
high	高的	⠓⠊⠣
hundred	一百的	⠓⠥⠝⠙⠗⠫
in	在裡面的	⠔
inside	裡面的；內側的;內幕的	⠔⠎⠊⠙⠑
iron	鐵的;剛強的;殘酷的	⠊⠗⠕⠝
just	正直的;公平的;應得的;正確的	⠚
kind	仁慈的	⠅⠔⠙
large	大的	⠇⠜⠛⠑
last	最後的	⠇⠁⠌
least	最小的;最少的;最不重要的	⠇⠂⠌
light	輕的	⠇⠊⠣⠞
little	很少的	⠇⠇
long	長的	⠇⠰⠛
loud	大聲的	⠇⠳⠙
low	低的;矮的	⠇⠪
many	很多的	⠸⠍
mean	兇的;吝嗇的	⠍⠂⠝
more	更多的	⠍
most	最多的;大部分的	⠍⠕⠌
much	很多的	⠍⠡
near	近的	⠝⠑⠜
nine	九的	⠝⠔⠑
nineteen	十九的	⠝⠔⠑⠞⠑⠢
ninety	九十的	⠝⠔⠑⠞⠽
north	北方的	⠝⠕⠗⠹
off	離去的;偏離的;休假的;關著的	⠷⠋
one	一個的	⠐⠕
open	打開的;空曠的;未定的;營業的;公開的	⠕⠏⠢
other	其他的	⠕⠮⠗
out	在外的	⠳
